timestamp_utc,timestamp_et,session_date_et,ticker,open,high,low,close
2026-08-31T15:40:00Z,2026-08-31T11:40:00-04:00,2026-08-31,^TNX,4.760000,4.760000,4.760000,4.760000
2026-08-31T15:40:00Z,2026-08-31T11:40:00-04:00,2026-08-31,^TYX,5.262000,5.262000,5.262000,5.262000
2026-08-31T15:41:00Z,2026-08-31T11:41:00-04:00,2026-08-31,^TNX,4.760000,4.760000,4.760000,4.760000
2026-08-31T15:41:00Z,2026-08-31T11:41:00-04:00,2026-08-31,^TYX,5.263000,5.263000,5.263000,5.263000
2026-08-31T15:42:00Z,2026-08-31T11:42:00-04:00,2026-08-31,^TNX,4.762000,4.762000,4.760000,4.760000
2026-08-31T15:42:00Z,2026-08-31T11:42:00-04:00,2026-08-31,^TYX,5.264000,5.264000,5.264000,5.264000
2026-08-31T15:43:00Z,2026-08-31T11:43:00-04:00,2026-08-31,^TNX,4.760000,4.760000,4.760000,4.760000
2026-08-31T15:43:00Z,2026-08-31T11:43:00-04:00,2026-08-31,^TYX,5.263000,5.264000,5.263000,5.264000
2026-08-31T15:44:00Z,2026-08-31T11:44:00-04:00,2026-08-31,^TNX,4.762000,4.762000,4.760000,4.760000
2026-08-31T15:44:00Z,2026-08-31T11:44:00-04:00,2026-08-31,^TYX,5.264000,5.266000,5.264000,5.264000
2026-08-31T15:45:00Z,2026-08-31T11:45:00-04:00,2026-08-31,^TNX,4.760000,4.760000,4.760000,4.760000
2026-08-31T15:45:00Z,2026-08-31T11:45:00-04:00,2026-08-31,^TYX,5.264000,5.264000,5.263000,5.264000
2026-08-31T15:46:00Z,2026-08-31T11:46:00-04:00,2026-08-31,^TNX,4.760000,4.760000,4.760000,4.760000
2026-08-31T15:46:00Z,2026-08-31T11:46:00-04:00,2026-08-31,^TYX,5.264000,5.264000,5.264000,5.264000
2026-08-31T15:47:00Z,2026-08-31T11:47:00-04:00,2026-08-31,^TNX,4.760000,4.760000,4.760000,4.760000
2026-08-31T15:47:00Z,2026-08-31T11:47:00-04:00,2026-08-31,^TYX,5.263000,5.264000,5.263000,5.264000
2026-08-31T15:48:00Z,2026-08-31T11:48:00-04:00,2026-08-31,^TNX,4.760000,4.760000,4.760000,4.760000
2026-08-31T15:48:00Z,2026-08-31T11:48:00-04:00,2026-08-31,^TYX,5.263000,5.263000,5.263000,5.263000
2026-08-31T15:49:00Z,2026-08-31T11:49:00-04:00,2026-08-31,^TNX,4.760000,4.760000,4.760000,4.760000
2026-08-31T15:49:00Z,2026-08-31T11:49:00-04:00,2026-08-31,^TYX,5.263000,5.264000,5.262000,5.263000
2026-08-31T15:50:00Z,2026-08-31T11:50:00-04:00,2026-08-31,^TNX,4.760000,4.762000,4.760000,4.760000
2026-08-31T15:50:00Z,2026-08-31T11:50:00-04:00,2026-08-31,^TYX,5.264000,5.264000,5.263000,5.263000
2026-08-31T15:51:00Z,2026-08-31T11:51:00-04:00,2026-08-31,^TNX,4.762000,4.762000,4.762000,4.762000
2026-08-31T15:51:00Z,2026-08-31T11:51:00-04:00,2026-08-31,^TYX,5.264000,5.264000,5.264000,5.264000
2026-08-31T15:52:00Z,2026-08-31T11:52:00-04:00,2026-08-31,^TNX,4.762000,4.762000,4.762000,4.762000
2026-08-31T15:52:00Z,2026-08-31T11:52:00-04:00,2026-08-31,^TYX,5.264000,5.264000,5.263000,5.264000
2026-08-31T15:53:00Z,2026-08-31T11:53:00-04:00,2026-08-31,^TNX,4.762000,4.762000,4.760000,4.762000
2026-08-31T15:53:00Z,2026-08-31T11:53:00-04:00,2026-08-31,^TYX,5.264000,5.264000,5.262000,5.262000
2026-08-31T15:54:00Z,2026-08-31T11:54:00-04:00,2026-08-31,^TNX,4.760000,4.762000,4.760000,4.762000
2026-08-31T15:54:00Z,2026-08-31T11:54:00-04:00,2026-08-31,^TYX,5.262000,5.264000,5.262000,5.264000
2026-08-31T15:55:00Z,2026-08-31T11:55:00-04:00,2026-08-31,^TNX,4.762000,4.764000,4.762000,4.764000
2026-08-31T15:55:00Z,2026-08-31T11:55:00-04:00,2026-08-31,^TYX,5.263000,5.264000,5.262000,5.263000
2026-08-31T15:56:00Z,2026-08-31T11:56:00-04:00,2026-08-31,^TNX,4.764000,4.764000,4.764000,4.764000
2026-08-31T15:56:00Z,2026-08-31T11:56:00-04:00,2026-08-31,^TYX,5.263000,5.263000,5.263000,5.263000
2026-08-31T15:57:00Z,2026-08-31T11:57:00-04:00,2026-08-31,^TNX,4.764000,4.764000,4.762000,4.762000
2026-08-31T15:57:00Z,2026-08-31T11:57:00-04:00,2026-08-31,^TYX,5.262000,5.262000,5.261000,5.261000
2026-08-31T15:58:00Z,2026-08-31T11:58:00-04:00,2026-08-31,^TNX,4.762000,4.762000,4.762000,4.762000
2026-08-31T15:58:00Z,2026-08-31T11:58:00-04:00,2026-08-31,^TYX,5.261000,5.261000,5.261000,5.261000
2026-08-31T15:59:00Z,2026-08-31T11:59:00-04:00,2026-08-31,^TNX,4.762000,4.762000,4.762000,4.762000
2026-08-31T15:59:00Z,2026-08-31T11:59:00-04:00,2026-08-31,^TYX,5.261000,5.261000,5.260000,5.260000
2026-08-31T16:00:00Z,2026-08-31T12:00:00-04:00,2026-08-31,^TNX,4.760000,4.764000,4.760000,4.764000
2026-08-31T16:00:00Z,2026-08-31T12:00:00-04:00,2026-08-31,^TYX,5.260000,5.263000,5.260000,5.262000
2026-08-31T16:01:00Z,2026-08-31T12:01:00-04:00,2026-08-31,^TNX,4.764000,4.764000,4.764000,4.764000
2026-08-31T16:01:00Z,2026-08-31T12:01:00-04:00,2026-08-31,^TYX,5.262000,5.262000,5.260000,5.260000
2026-08-31T16:02:00Z,2026-08-31T12:02:00-04:00,2026-08-31,^TNX,4.764000,4.764000,4.762000,4.762000
2026-08-31T16:02:00Z,2026-08-31T12:02:00-04:00,2026-08-31,^TYX,5.260000,5.260000,5.259000,5.259000
2026-08-31T16:03:00Z,2026-08-31T12:03:00-04:00,2026-08-31,^TNX,4.762000,4.762000,4.762000,4.762000
2026-08-31T16:03:00Z,2026-08-31T12:03:00-04:00,2026-08-31,^TYX,5.259000,5.259000,5.258000,5.258000
2026-08-31T16:04:00Z,2026-08-31T12:04:00-04:00,2026-08-31,^TNX,4.762000,4.764000,4.762000,4.764000
2026-08-31T16:04:00Z,2026-08-31T12:04:00-04:00,2026-08-31,^TYX,5.258000,5.259000,5.258000,5.258000
2026-08-31T16:05:00Z,2026-08-31T12:05:00-04:00,2026-08-31,^TNX,4.764000,4.764000,4.764000,4.764000
2026-08-31T16:05:00Z,2026-08-31T12:05:00-04:00,2026-08-31,^TYX,5.258000,5.258000,5.257000,5.258000
2026-08-31T16:06:00Z,2026-08-31T12:06:00-04:00,2026-08-31,^TNX,4.764000,4.766000,4.764000,4.764000
2026-08-31T16:06:00Z,2026-08-31T12:06:00-04:00,2026-08-31,^TYX,5.258000,5.262000,5.258000,5.260000
2026-08-31T16:07:00Z,2026-08-31T12:07:00-04:00,2026-08-31,^TNX,4.764000,4.764000,4.764000,4.764000
2026-08-31T16:07:00Z,2026-08-31T12:07:00-04:00,2026-08-31,^TYX,5.260000,5.260000,5.260000,5.260000
2026-08-31T16:08:00Z,2026-08-31T12:08:00-04:00,2026-08-31,^TNX,4.764000,4.766000,4.764000,4.766000
2026-08-31T16:08:00Z,2026-08-31T12:08:00-04:00,2026-08-31,^TYX,5.261000,5.261000,5.260000,5.260000
2026-08-31T16:09:00Z,2026-08-31T12:09:00-04:00,2026-08-31,^TNX,4.764000,4.766000,4.764000,4.766000
2026-08-31T16:09:00Z,2026-08-31T12:09:00-04:00,2026-08-31,^TYX,5.260000,5.262000,5.260000,5.262000
2026-08-31T16:10:00Z,2026-08-31T12:10:00-04:00,2026-08-31,^TNX,4.766000,4.768000,4.766000,4.766000
2026-08-31T16:10:00Z,2026-08-31T12:10:00-04:00,2026-08-31,^TYX,5.263000,5.264000,5.262000,5.263000
2026-08-31T16:11:00Z,2026-08-31T12:11:00-04:00,2026-08-31,^TNX,4.764000,4.764000,4.764000,4.764000
2026-08-31T16:11:00Z,2026-08-31T12:11:00-04:00,2026-08-31,^TYX,5.261000,5.261000,5.260000,5.261000
2026-08-31T16:12:00Z,2026-08-31T12:12:00-04:00,2026-08-31,^TNX,4.764000,4.764000,4.764000,4.764000
2026-08-31T16:12:00Z,2026-08-31T12:12:00-04:00,2026-08-31,^TYX,5.261000,5.261000,5.259000,5.259000
2026-08-31T16:13:00Z,2026-08-31T12:13:00-04:00,2026-08-31,^TNX,4.764000,4.764000,4.762000,4.762000
2026-08-31T16:13:00Z,2026-08-31T12:13:00-04:00,2026-08-31,^TYX,5.260000,5.260000,5.259000,5.259000
2026-08-31T16:14:00Z,2026-08-31T12:14:00-04:00,2026-08-31,^TNX,4.762000,4.762000,4.760000,4.760000
2026-08-31T16:14:00Z,2026-08-31T12:14:00-04:00,2026-08-31,^TYX,5.259000,5.259000,5.259000,5.259000
2026-08-31T16:15:00Z,2026-08-31T12:15:00-04:00,2026-08-31,^TNX,4.762000,4.762000,4.760000,4.760000
2026-08-31T16:15:00Z,2026-08-31T12:15:00-04:00,2026-08-31,^TYX,5.260000,5.260000,5.259000,5.259000
